NumBlocks 150
MinAspectRatio 0.5
MaxAspectRatio 2
block_0 545 1020
block_1 660 840
block_2 655 845
block_3 570 970
block_4 775 715
block_5 555 1000
block_6 730 755
block_7 860 645
block_8 620 890
block_9 745 740
block_10 820 675
block_11 565 980
block_12 605 915
block_13 565 980
block_14 820 675
block_15 1020 540
block_16 590 940
block_17 795 695
block_18 890 620
block_19 570 965
block_20 725 760
block_21 545 1015
block_22 545 1020
block_23 820 675
block_24 785 705
block_25 755 735
block_26 745 745
block_27 895 620
block_28 885 625
block_29 530 1040
block_30 580 950
block_31 610 905
block_32 540 1020
block_33 760 725
block_34 805 685
block_35 620 890
block_36 545 1015
block_37 665 835
block_38 650 850
block_39 795 695
block_40 920 600
block_41 895 620
block_42 585 945
block_43 830 665
block_44 925 595
block_45 695 795
block_46 610 905
block_47 640 865
block_48 965 575
block_49 615 895
block_50 1045 530
block_51 665 835
block_52 615 900
block_53 785 705
block_54 640 865
block_55 665 835
block_56 565 980
block_57 580 955
block_58 575 965
block_59 800 690
block_60 550 1000
block_61 700 790
block_62 550 1000
block_63 585 945
block_64 1010 550
block_65 890 620
block_66 760 725
block_67 935 590
block_68 820 675
block_69 1005 550
block_70 925 600
block_71 590 935
block_72 755 735
block_73 575 965
block_74 780 705
block_75 625 885
block_76 605 915
block_77 915 605
block_78 685 810
block_79 560 990
block_80 1040 530
block_81 670 825
block_82 875 630
block_83 655 840
block_84 620 895
block_85 690 800
block_86 545 1010
block_87 735 750
block_88 690 805
block_89 980 565
block_90 595 935
block_91 750 735
block_92 635 870
block_93 555 995
block_94 595 925
block_95 580 955
block_96 545 1020
block_97 610 905
block_98 680 810
block_99 565 975
block_100 655 845
block_101 785 705
block_102 705 785
block_103 580 955
block_104 610 905
block_105 905 610
block_106 640 865
block_107 600 920
block_108 840 655
block_109 645 855
block_110 575 965
block_111 530 1040
block_112 660 835
block_113 605 910
block_114 610 905
block_115 525 1050
block_116 560 990
block_117 565 975
block_118 565 980
block_119 530 1040
block_120 710 780
block_121 875 630
block_122 650 850
block_123 680 810
block_124 605 910
block_125 700 790
block_126 790 700
block_127 820 675
block_128 935 590
block_129 785 705
block_130 655 845
block_131 570 975
block_132 695 795
block_133 775 710
block_134 575 965
block_135 760 730
block_136 840 660
block_137 670 825
block_138 595 930
block_139 985 560
block_140 765 725
block_141 595 930
block_142 550 1005
block_143 760 730
block_144 855 645
block_145 540 1020
block_146 800 695
block_147 530 1045
block_148 625 885
block_149 645 860
